18755 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
1670 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
21066 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
2088 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
901 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
4023 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
5771 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
15319 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
1773 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
1466 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
6701 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
696 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
4558 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
10089 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
25 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
203 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
9571 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
2385 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
5335 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
661 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
31661 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
8807 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
15499 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
8223 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
258 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
5507 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
8536 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
17050 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
4623 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
17217 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
6886 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
3042 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
11724 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
361 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
3066 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
2247 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
3568 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.25, 0.25], solved = true
