2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
73 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 25, mines = 31, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 30, mines = 45, solved = true
