3 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 50, mines = 125, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 50, mines = 125, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 60, mines = 150, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 60, mines = 150, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 60, mines = 150, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 60, mines = 150, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 60, mines = 150, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 70, mines = 175, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 70, mines = 175, solved = true
6846033 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 70, mines = 175, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 70, mines = 175, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 70, mines = 175, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 80, mines = 200, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 80, mines = 200, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 80, mines = 200, solved = true
18 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 80, mines = 200, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 80, mines = 200, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 90, mines = 225, solved = true
12 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 90, mines = 225, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 90, mines = 225, solved = true
19 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 90, mines = 225, solved = true
19 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 90, mines = 225, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 100, mines = 250, solved = true
20 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 100, mines = 250, solved = true
21 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 100, mines = 250, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 100, mines = 250, solved = true
20 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 100, mines = 250, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 60, mines = 180, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 60, mines = 180, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 60, mines = 180, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 60, mines = 180, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 60, mines = 180, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 70, mines = 210, solved = true
12 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 70, mines = 210, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 70, mines = 210, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 70, mines = 210, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 70, mines = 210, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 80, mines = 240, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 80, mines = 240, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 80, mines = 240, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 80, mines = 240, solved = true
15 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 80, mines = 240, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 90, mines = 270, solved = true
23 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 90, mines = 270, solved = true
16 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 90, mines = 270, solved = true
26 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 90, mines = 270, solved = true
15 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 90, mines = 270, solved = true
19 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 100, mines = 300, solved = true
16 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 100, mines = 300, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 100, mines = 300, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 100, mines = 300, solved = true
21 ms, AutomatonSolveMineMoveGenerator,  x = 60, y = 100, mines = 300, solved = true
15 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 70, mines = 245, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 70, mines = 245, solved = true
14 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 70, mines = 245, solved = true
10 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 70, mines = 245, solved = true
21 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 70, mines = 245, solved = true
14 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 80, mines = 280, solved = true
20 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 80, mines = 280, solved = true
18 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 80, mines = 280, solved = true
12 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 80, mines = 280, solved = true
22 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 80, mines = 280, solved = true
25 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 90, mines = 315, solved = true
26 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 90, mines = 315, solved = true
23681820 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 90, mines = 315, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 90, mines = 315, solved = true
18 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 90, mines = 315, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 100, mines = 350, solved = true
24 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 100, mines = 350, solved = true
31 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 100, mines = 350, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 100, mines = 350, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 70, y = 100, mines = 350, solved = true
19 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 80, mines = 320, solved = true
32 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 80, mines = 320, solved = true
11 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 80, mines = 320, solved = true
22 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 80, mines = 320, solved = true
30 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 80, mines = 320, solved = true
30 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 90, mines = 360, solved = true
17 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 90, mines = 360, solved = true
16 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 90, mines = 360, solved = true
18 ms, AutomatonSolveMineMoveGenerator,  x = 80, y = 90, mines = 360, solved = true
